awvCreateBus("Data" list(awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<0>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<1>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<2>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<3>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<4>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<5>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<6>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<7>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<8>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<9>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<10>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<11>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<12>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<13>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<14>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<15>" ) nil nil 1.65 nil "centre") ) "Signed Decimal") X,awvCreateBus("Data" list(awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<0>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<1>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<2>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<3>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<4>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<5>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<6>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<7>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<8>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<9>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<10>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<11>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<12>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<13>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<14>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<15>" ) nil nil 1.65 nil "centre") ) "Signed Decimal") LogicBus
0,0000000000000000
5.01025000151515e-10,0000000000000001
1.005010250001515e-07,0000000011001110
2.005010250001515e-07,0000000110011100
3.005010250001515e-07,0000001001101010
4.005010250001515e-07,0000001100111000
5.005010250001515e-07,0000010000000101
6.005010250001515e-07,0000010011010011
7.005010250001515e-07,0000010110100000
8.005010250001515e-07,0000011001101101
9.005010250001515e-07,0000011100111010
1.000501025000152e-06,0000100000000110
1.100501025000152e-06,0000100011010010
1.200501025000152e-06,0000100110011110
1.300501025000152e-06,0000101001101001
1.400501025000151e-06,0000101100110100
1.500501025000152e-06,0000101111111111
1.600501025000152e-06,0000110011001001
1.700501025000151e-06,0000110110010010
1.800501025000151e-06,0000111001011011
1.900501025000152e-06,0000111100100011
2.000501025000151e-06,0000111111101011
2.100501025000151e-06,0001000010110010
2.200501025000151e-06,0001000101111001
2.300501025000151e-06,0001001000111110
2.400501025000151e-06,0001001100000011
2.500501025000151e-06,0001001111000111
2.600501025000151e-06,0001010010001011
2.700501025000151e-06,0001010101001101
2.800501025000151e-06,0001011000001111
2.900501025000151e-06,0001011011010000
3.000501025000151e-06,0001011110010000
3.100501025000151e-06,0001100001001111
3.200501025000151e-06,0001100100001101
3.300501025000151e-06,0001100111001010
3.400501025000151e-06,0001101010000110
3.500501025000151e-06,0001101101000000
3.600501025000151e-06,0001101111111010
3.700501025000151e-06,0001110010110011
3.800501025000151e-06,0001110101101010
3.900501025000152e-06,0001111000100000
4.000501025000151e-06,0001111011010101
4.100501025000151e-06,0001111110001001
4.200501025000151e-06,0010000000111100
4.300501025000151e-06,0010000011101101
4.400501025000152e-06,0010000110011101
4.500501025000152e-06,0010001001001011
4.600501025000152e-06,0010001011111000
4.700501025000152e-06,0010001110100100
4.800501025000151e-06,0010010001001110
4.900501025000151e-06,0010010011110111
5.000501025000151e-06,0010010110011111
5.100501025000151e-06,0010011001000100
5.200501025000151e-06,0010011011101001
5.300501025000152e-06,0010011110001011
5.400501025000152e-06,0010100000101100
5.500501025000152e-06,0010100011001100
5.600501025000151e-06,0010100101101010
5.700501025000151e-06,0010101000000110
5.800501025000151e-06,0010101010100000
5.900501025000151e-06,0010101100111001
6.000501025000152e-06,0010101111010000
6.100501025000152e-06,0010110001100101
6.200501025000152e-06,0010110011111000
6.300501025000151e-06,0010110110001010
6.400501025000151e-06,0010111000011010
6.500501025000151e-06,0010111010101000
6.600501025000151e-06,0010111100110100
6.700501025000151e-06,0010111110111110
6.800501025000151e-06,0011000001000110
6.900501025000152e-06,0011000011001100
7.000501025000152e-06,0011000101010000
7.100501025000151e-06,0011000111010010
7.200501025000151e-06,0011001001010011
7.300501025000151e-06,0011001011010001
7.400501025000151e-06,0011001101001101
7.500501025000151e-06,0011001111000111
7.600501025000152e-06,0011010000111111
7.70050102500015e-06,0011010010110101
7.800501025000151e-06,0011010100101001
7.90050102500015e-06,0011010110011010
8.00050102500015e-06,0011011000001010
8.100501025000151e-06,0011011001110111
8.20050102500015e-06,0011011011100010
8.300501025000151e-06,0011011101001011
8.40050102500015e-06,0011011110110001
8.500501025000151e-06,0011100000010101
8.60050102500015e-06,0011100001110111
8.700501025000151e-06,0011100011010111
8.800501025000151e-06,0011100100110101
8.90050102500015e-06,0011100110010000
9.000501025000151e-06,0011100111101001
9.10050102500015e-06,0011101000111111
9.200501025000151e-06,0011101010010011
9.30050102500015e-06,0011101011100101
9.400501025000151e-06,0011101100110100
9.50050102500015e-06,0011101110000001
9.60050102500015e-06,0011101111001100
9.700501025000151e-06,0011110000010100
9.80050102500015e-06,0011110001011010
9.900501025000151e-06,0011110010011101
1.000050102500015e-05,0011110011011110
1.010050102500015e-05,0011110100011100
1.020050102500015e-05,0011110101011000
